حضرت	N	SBJ	Arg1	null	role_state
يوسف	N	MOZ	null	نفر§n-13075	role
يکي‌از	ADJ	NPREMOD	null	null	no
پيامبران	N	MOS	null	نفر§n-13075	role_state
الهي	ADJ	NPOSTMOD	null	مشخصه§n-12756	role_state
است	V	ROOT	null	رخداد§n-13136	junk
که	SUBR	NCL	null	null	junk
نام	N	SBJ	null	مفهوم کلي§n-12726	no
مبارک	ADJ	NPOSTMOD	null	مشخصه§n-12756	role_state
ش	PR	MOZ	null	null	junk
27	NUM	NPREMOD	null	null	junk
بار	N	ADVRB	null	دوره زماني§n-12603	no
در	PREP	VPP	Arg3	null	junk
قرآن	N	POSDEP	null	شيء§n-12703	no
آمده‌است	V	PREDEP	null	رخداد§n-13136	no
و	CONJ	VCONJ	null	null	junk
يک	NUM	NPREMOD	null	اندازه§n-12768	junk
سوره	N	SBJ	null	مفهوم کلي§n-12726	no
نيز	ADV	ADVRB	null	null	junk
به	PREP	MOS	Arg1	null	junk
نام	N	POSDEP	null	مفهوم کلي§n-12726	no
ايشان	PR	MOZ	null	null	junk
مي‌باشد	V	PRD	null	رخداد§n-13136	no
.	PUNC	PUNC	null	null	junk

او	PR	SBJ	Arg0	null	junk
مجموعا	ADV	ADVRB	ArgM_ADV	null	junk
11	NUM	NPREMOD	null	null	junk
برادر	N	OBJ	Arg1	نفر§n-13075	role
داشت	V	PREDEP	null	null	junk
و	CONJ	VCONJ	null	null	junk
از	PREP	ADVRB	ArgM_ADV	null	junk
ميان	N	ADVRB	ArgM_ADV	null	no
آن‌ها	PR	MOZ	null	null	junk
فقط	ADV	ADVRB	ArgM_ADV	null	junk
بنيامين	N	SBJ	Arg1	null	role
برادر	N	MOS	Arg2	نفر§n-13075	role
پدري	ADJ	NPOSTMOD	null	نفر§n-13075	role_state
و	CONJ	AJCONJ	null	null	junk
مادري	ADJ	AJCONJ	null	نفر§n-13075	role_state
او	PR	MOZ	null	null	junk
بود	V	ROOT	null	null	junk
.	PUNC	PUNC	null	null	junk

يوسف	N	SBJ	Arg1	نفر§n-13075	role
از	PREP	AJPP	null	null	junk
همه	ADJ	NPREMOD	null	null	junk
برادران	N	AJPP	null	نفر§n-13075	role
جز	PREP	POSDEP	null	null	junk
بنيامين	N	POSDEP	null	نفر§n-13075	role
کوچکتر	ADJ	MOS	Arg2	مشخصه§n-12756	role_state
بود	V	ROOT	null	null	junk
.	PUNC	PUNC	null	null	junk

او	PR	SBJ	Arg0	null	junk
حدود	PREP	ADVC	Arg2	مشخصه§n-12756	no
110	NUM	NPREMOD	null	null	junk
سال	N	POSDEP	null	دوره_زماني§n-12603	no
زندگي	N	NVE	null	رخداد§n-13136	no
کرد	V	ROOT	null	null	junk
.	PUNC	PUNC	null	null	junk

يوسف	N	SBJ	Arg0	نفر§n-13075	role
يوسف	N	SBJ	Arg0	نفر§n-13075	role
9	NUM	NPREMOD	null	null	junk
سال	N	ADVC	Arg1	دوره_زماني§n-12603	no
بيشتر	ADV	ADVRB	ArgM_EXT	null	junk
نداشت	V	ROOT	null	null	junk
که	SUBR	NCL	null	null	junk
يک	NUM	NPREMOD	null	null	junk
شب	N	ADVRB	ArgM_TMP	دوره_زماني§n-12603	time
،	PUNC	PUNC	null	null	junk
رويايي	N	OBJ	Arg1	خصوصيت_رواني§n-12725	no
ديد	V	PRD	null	رخداد§n-13136	role_action
.	PUNC	PUNC	null	null	junk

صبح	N	ADVRB	ArgM_TMP	دوره_زماني§n-12603	time
نزد	PREP	VPP	Arg4	جا§n-12733	location
پدر	N	POSDEP	null	نفر§n-13075	role
